Peticion recibida: metodo GET | url: /api/heroes/3 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/ | fecha: 23/9/2024
Peticion recibida: metodo POST | url: /api/heroes/ | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/40 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/21 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/21 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/18 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: /api/heroes/ | fecha: 23/9/2024
Peticion recibida: metodo POST | url: /api/heroes/ | fecha: 23/9/2024
Peticion recibida: metodo POST | url: /api/heroes?email=admin@coder.com&password=123 | fecha: 23/9/2024
Peticion recibida: metodo POST | url: /api/heroes?email=admin@coder.com&password=CoderCoder123 | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
Peticion recibida: metodo GET | url: / | fecha: 23/9/2024
